source,rx_index,tx_index,native_rx,native_tx,freq_ghz,magnitude_with_db,magnitude_without_db,lens_gain_db
HFSS Hybrid Solver,1,1,rx1,tx_0deg,37.0,-18.012860648609333,-28.36316249303448,10.350301844425147
HFSS Hybrid Solver,1,1,rx1,tx_0deg,38.0,-18.539271478465302,-27.33411518341581,8.794843704950509
HFSS Hybrid Solver,1,1,rx1,tx_0deg,39.0,-18.070767423865572,-28.489248376739184,10.418480952873612
HFSS Hybrid Solver,1,2,rx1,tx_45deg,37.0,-35.80836814693427,-30.161569909532066,-5.646798237402205
HFSS Hybrid Solver,1,2,rx1,tx_45deg,38.0,-37.569776694561774,-28.909642653757814,-8.66013404080396
HFSS Hybrid Solver,1,2,rx1,tx_45deg,39.0,-37.572938328710784,-30.213144777181405,-7.359793551529378
HFSS Hybrid Solver,1,3,rx1,tx_m45deg,37.0,-35.85370795159408,-29.088791742520467,-6.764916209073615
HFSS Hybrid Solver,1,3,rx1,tx_m45deg,38.0,-36.82615801828499,-28.862053037606135,-7.964104980678858
HFSS Hybrid Solver,1,3,rx1,tx_m45deg,39.0,-37.46029368618287,-30.080804195631575,-7.379489490551297
HFSS Hybrid Solver,2,1,rx2,tx_0deg,37.0,-36.63286277513561,-32.53742236781567,-4.095440407319934
HFSS Hybrid Solver,2,1,rx2,tx_0deg,38.0,-49.80958779103818,-32.64089238004349,-17.168695410994694
HFSS Hybrid Solver,2,1,rx2,tx_0deg,39.0,-54.68418458586508,-33.424857078107145,-21.259327507757938
HFSS Hybrid Solver,2,2,rx2,tx_45deg,37.0,-21.67943608396564,-30.012673740242764,8.333237656277124
HFSS Hybrid Solver,2,2,rx2,tx_45deg,38.0,-22.01240319403879,-29.20313411553828,7.19073092149949
HFSS Hybrid Solver,2,2,rx2,tx_45deg,39.0,-23.136777281705683,-30.30346148451772,7.166684202812036
HFSS Hybrid Solver,2,3,rx2,tx_m45deg,37.0,-35.910650808910425,-35.31863614483585,-0.5920146640745756
HFSS Hybrid Solver,2,3,rx2,tx_m45deg,38.0,-37.61194721649712,-34.25537422639173,-3.3565729901053913
HFSS Hybrid Solver,2,3,rx2,tx_m45deg,39.0,-35.30750018642005,-34.558936481823494,-0.7485637045965561
HFSS Hybrid Solver,3,1,rx3,tx_0deg,37.0,-36.55793383679602,-32.532385800178496,-4.025548036617522
HFSS Hybrid Solver,3,1,rx3,tx_0deg,38.0,-49.17118181039164,-32.64883145066264,-16.522350359728996
HFSS Hybrid Solver,3,1,rx3,tx_0deg,39.0,-56.74574244208627,-33.44252513458684,-23.30321730749943
HFSS Hybrid Solver,3,2,rx3,tx_45deg,37.0,-34.957986119452215,-35.416975307354875,0.4589891879026595
HFSS Hybrid Solver,3,2,rx3,tx_45deg,38.0,-36.962041419533776,-34.79443487929233,-2.1676065402414437
HFSS Hybrid Solver,3,2,rx3,tx_45deg,39.0,-35.72466905519783,-35.87205627164118,0.14738721644334873
HFSS Hybrid Solver,3,3,rx3,tx_m45deg,37.0,-21.970474653334584,-29.23111643220938,7.2606417788747954
HFSS Hybrid Solver,3,3,rx3,tx_m45deg,38.0,-22.36407467102879,-29.48654235639146,7.122467685362672
HFSS Hybrid Solver,3,3,rx3,tx_m45deg,39.0,-23.161606919488577,-31.46311279915269,8.301505879664113
