source,lens,rx_index,tx_index,native_rx,native_tx,freq_ghz,channel_real,channel_imag,magnitude_linear,magnitude_db,phase_deg
HFSS Hybrid Solver,with,1,1,rx1,tx_0deg,36.0,0.0134342974429376,-0.0660397891645979,0.0673923890412698,-23.427782954759184,-78.50137423509136
HFSS Hybrid Solver,with,1,1,rx1,tx_0deg,37.0,-0.0919731827188941,0.0856913180018089,0.1257062779670539,-18.012860648609333,137.02502163069147
HFSS Hybrid Solver,with,1,1,rx1,tx_0deg,38.0,0.0998511521814128,-0.0634662793489313,0.11831407864811458,-18.539271478465302,-32.44040210344805
HFSS Hybrid Solver,with,1,1,rx1,tx_0deg,39.0,-0.122345357947021,-0.0249876537444931,0.124871011250968,-18.070767423865572,-168.45674154387305
HFSS Hybrid Solver,with,1,1,rx1,tx_0deg,40.0,0.108024829114975,0.0584660871526723,0.12283178355891208,-18.21378484008077,28.423503018416433
HFSS Hybrid Solver,with,1,2,rx1,tx_45deg,36.0,-0.00497203267214721,-0.0075885065172913,0.009072295192280278,-40.84565654492125,-123.23304514720492
HFSS Hybrid Solver,with,1,2,rx1,tx_45deg,37.0,0.00840206116987788,0.0138537303808323,0.016202483678966182,-35.80836814693427,58.7638727009045
HFSS Hybrid Solver,with,1,2,rx1,tx_45deg,38.0,-0.00748323051369948,-0.0109084796158931,0.013228517167525553,-37.569776694561774,-124.45017069196436
HFSS Hybrid Solver,with,1,2,rx1,tx_45deg,39.0,0.00918877725335841,0.00950961046553402,0.01322370290871778,-37.572938328710784,45.98300375428825
HFSS Hybrid Solver,with,1,2,rx1,tx_45deg,40.0,0.00152998289909453,0.00250136227733081,0.002932176821744432,-50.65619687166601,58.547548124699034
HFSS Hybrid Solver,with,1,3,rx1,tx_m45deg,36.0,0.00476999635249995,0.00764157173690305,0.00900813431366886,-40.90730293997368,58.026903091322204
HFSS Hybrid Solver,with,1,3,rx1,tx_m45deg,37.0,-0.00958149997188195,-0.0129610536222587,0.016118128077113644,-35.85370795159408,-126.47378183423358
HFSS Hybrid Solver,with,1,3,rx1,tx_m45deg,38.0,0.00913507729614025,0.011145642770515,0.014410933001523194,-36.82615801828499,50.66162032675173
HFSS Hybrid Solver,with,1,3,rx1,tx_m45deg,39.0,-0.0113660266676823,-0.00709046290609062,0.013396313912159279,-37.46029368618287,-148.04286784461706
HFSS Hybrid Solver,with,1,3,rx1,tx_m45deg,40.0,0.00137230215277554,-0.000977575624396176,0.001684893854201491,-55.46854907670281,-35.46461957837281
HFSS Hybrid Solver,with,2,1,rx2,tx_0deg,36.0,0.00666680275888986,0.0133639556332115,0.014934576297718887,-36.5161418812478,63.48702092756372
HFSS Hybrid Solver,with,2,1,rx2,tx_0deg,37.0,-0.0013960951767716,-0.0146689421425843,0.014735228037770253,-36.63286277513561,-95.43666660991137
HFSS Hybrid Solver,with,2,1,rx2,tx_0deg,38.0,0.000468116402148351,0.00319829030351292,0.0032323665991816405,-49.80958779103818,81.67305322159365
HFSS Hybrid Solver,with,2,1,rx2,tx_0deg,39.0,1.87563010389689e-05,0.00184403137735915,0.001844126763406938,-54.68418458586508,89.4172442810765
HFSS Hybrid Solver,with,2,1,rx2,tx_0deg,40.0,0.0030318236338727,0.00312865307442997,0.004356652913309616,-47.21694076290403,45.900492240201324
HFSS Hybrid Solver,with,2,2,rx2,tx_45deg,36.0,0.027283554433464,-0.0426312938125299,0.05061442042199084,-25.914514636537422,-57.38120849157202
HFSS Hybrid Solver,with,2,2,rx2,tx_45deg,37.0,-0.0645924278636144,0.0511931300862276,0.08241916224605568,-21.67943608396564,141.60119714892303
HFSS Hybrid Solver,with,2,2,rx2,tx_45deg,38.0,0.0716743798408091,-0.0339759128965467,0.07931947669216124,-22.01240319403879,-25.362424891225906
HFSS Hybrid Solver,with,2,2,rx2,tx_45deg,39.0,-0.068185690911893,-0.014394409212816,0.06968850308134197,-23.136777281705683,-168.07954120977752
