trajectory,system,waypoint,waypoint_count,trajectory_angle_deg,distance_along_m,rx_config_name,snr_db_log_rounded,capacity_bits_s_hz_log_rounded,trajectory_angle_deg_exact,distance_along_m_exact,tx_center_x_m,tx_center_y_m,tx_center_z_m
Linear,Without Lens,0,21,,0.0,Simul_+4,17.7,5.87,,0.0,0.0,-9.5,2.0
Linear,Without Lens,0,21,,0.0,Simul_+3,17.8,5.9,,0.0,0.0,-9.5,2.0
Linear,Without Lens,0,21,,0.0,Simul_+2,17.9,5.92,,0.0,0.0,-9.5,2.0
Linear,Without Lens,0,21,,0.0,Simul_+1,17.8,5.92,,0.0,0.0,-9.5,2.0
Linear,Without Lens,0,21,,0.0,Simul_0,17.8,5.91,,0.0,0.0,-9.5,2.0
Linear,Without Lens,0,21,,0.0,Simul_-1,17.8,5.92,,0.0,0.0,-9.5,2.0
Linear,Without Lens,0,21,,0.0,Simul_-2,17.8,5.9,,0.0,0.0,-9.5,2.0
Linear,Without Lens,0,21,,0.0,Simul_-3,17.8,5.89,,0.0,0.0,-9.5,2.0
Linear,Without Lens,0,21,,0.0,Simul_-4,17.7,5.88,,0.0,0.0,-9.5,2.0
Linear,Without Lens,1,21,,0.95,Simul_+4,18.1,6.02,,0.95,0.0,-8.55,2.0
Linear,Without Lens,1,21,,0.95,Simul_+3,18.1,6.01,,0.95,0.0,-8.55,2.0
Linear,Without Lens,1,21,,0.95,Simul_+2,18.1,6.02,,0.95,0.0,-8.55,2.0
Linear,Without Lens,1,21,,0.95,Simul_+1,18.1,6.01,,0.95,0.0,-8.55,2.0
Linear,Without Lens,1,21,,0.95,Simul_0,18.0,5.99,,0.95,0.0,-8.55,2.0
Linear,Without Lens,1,21,,0.95,Simul_-1,18.0,5.97,,0.95,0.0,-8.55,2.0
Linear,Without Lens,1,21,,0.95,Simul_-2,18.0,5.99,,0.95,0.0,-8.55,2.0
Linear,Without Lens,1,21,,0.95,Simul_-3,18.1,6.0,,0.95,0.0,-8.55,2.0
Linear,Without Lens,1,21,,0.95,Simul_-4,18.1,6.01,,0.95,0.0,-8.55,2.0
Linear,Without Lens,2,21,,1.9,Simul_+4,18.9,6.26,,1.9,0.0,-7.6,2.0
Linear,Without Lens,2,21,,1.9,Simul_+3,18.8,6.23,,1.9,0.0,-7.6,2.0
Linear,Without Lens,2,21,,1.9,Simul_+2,18.8,6.25,,1.9,0.0,-7.6,2.0
Linear,Without Lens,2,21,,1.9,Simul_+1,18.9,6.27,,1.9,0.0,-7.6,2.0
Linear,Without Lens,2,21,,1.9,Simul_0,18.8,6.24,,1.9,0.0,-7.6,2.0
Linear,Without Lens,2,21,,1.9,Simul_-1,18.7,6.21,,1.9,0.0,-7.6,2.0
Linear,Without Lens,2,21,,1.9,Simul_-2,18.8,6.24,,1.9,0.0,-7.6,2.0
Linear,Without Lens,2,21,,1.9,Simul_-3,18.8,6.25,,1.9,0.0,-7.6,2.0
Linear,Without Lens,2,21,,1.9,Simul_-4,18.8,6.23,,1.9,0.0,-7.6,2.0
Linear,Without Lens,3,21,,2.85,Simul_+4,19.5,6.49,,2.8499999999999996,0.0,-6.65,2.0
Linear,Without Lens,3,21,,2.85,Simul_+3,19.5,6.47,,2.8499999999999996,0.0,-6.65,2.0
Linear,Without Lens,3,21,,2.85,Simul_+2,19.5,6.46,,2.8499999999999996,0.0,-6.65,2.0
Linear,Without Lens,3,21,,2.85,Simul_+1,19.5,6.48,,2.8499999999999996,0.0,-6.65,2.0
Linear,Without Lens,3,21,,2.85,Simul_0,19.5,6.47,,2.8499999999999996,0.0,-6.65,2.0
Linear,Without Lens,3,21,,2.85,Simul_-1,19.5,6.46,,2.8499999999999996,0.0,-6.65,2.0
Linear,Without Lens,3,21,,2.85,Simul_-2,19.5,6.48,,2.8499999999999996,0.0,-6.65,2.0
Linear,Without Lens,3,21,,2.85,Simul_-3,19.5,6.47,,2.8499999999999996,0.0,-6.65,2.0
Linear,Without Lens,3,21,,2.85,Simul_-4,19.5,6.46,,2.8499999999999996,0.0,-6.65,2.0
Linear,Without Lens,4,21,,3.8,Simul_+4,20.4,6.76,,3.8,0.0,-5.699999999999999,2.0
Linear,Without Lens,4,21,,3.8,Simul_+3,20.4,6.77,,3.8,0.0,-5.699999999999999,2.0
Linear,Without Lens,4,21,,3.8,Simul_+2,20.4,6.76,,3.8,0.0,-5.699999999999999,2.0
Linear,Without Lens,4,21,,3.8,Simul_+1,20.4,6.76,,3.8,0.0,-5.699999999999999,2.0
Linear,Without Lens,4,21,,3.8,Simul_0,20.4,6.77,,3.8,0.0,-5.699999999999999,2.0
Linear,Without Lens,4,21,,3.8,Simul_-1,20.4,6.75,,3.8,0.0,-5.699999999999999,2.0
