scenario,lens_angle_deg,vertical_angle_deg,theta_deg,phi_deg,gain_db
Simul_-45deg,-45,0.00000000,0.00000000,0.00000000,2.55431294
Simul_-45deg,-45,0.35999998,0.35990870,0.00000000,2.57893991
Simul_-45deg,-45,0.71999997,0.72009277,0.00000000,2.60498381
Simul_-45deg,-45,1.07999992,1.07992160,0.00000000,2.63237262
Simul_-45deg,-45,1.43999994,1.43994224,0.00000000,2.66112232
Simul_-45deg,-45,1.79999995,1.80004954,0.00000000,2.69119644
Simul_-45deg,-45,2.15999985,2.16002965,0.00000000,2.76285648
Simul_-45deg,-45,2.51999998,2.52002597,0.00000000,2.88475609
Simul_-45deg,-45,2.87999988,2.87997603,0.00000000,3.00593829
Simul_-45deg,-45,3.23999977,3.24002767,0.00000000,3.12641740
Simul_-45deg,-45,3.59999990,3.59999967,0.00000000,3.24610472
Simul_-45deg,-45,3.95999956,3.95997524,0.00000000,3.36500025
Simul_-45deg,-45,4.31999969,4.32001114,0.00000000,3.52111697
Simul_-45deg,-45,4.67999983,4.67998075,0.00000000,3.67923641
Simul_-45deg,-45,5.03999996,5.03998899,0.00000000,3.83463025
Simul_-45deg,-45,5.39999962,5.40000391,0.00000000,3.98737407
Simul_-45deg,-45,5.75999975,5.76000357,0.00000000,4.13754511
Simul_-45deg,-45,6.11999989,6.12000370,0.00000000,4.28578568
Simul_-45deg,-45,6.47999954,6.47998667,0.00000000,4.43295717
Simul_-45deg,-45,6.83999968,6.83999729,0.00000000,4.57813644
Simul_-45deg,-45,7.19999981,7.19998980,0.00000000,4.72134018
Simul_-45deg,-45,7.55999947,7.56000662,0.00000000,4.86262417
Simul_-45deg,-45,7.91999912,7.92000675,0.00000000,5.00200796
Simul_-45deg,-45,8.27999973,8.28000641,0.00000000,5.12951088
Simul_-45deg,-45,8.63999939,8.63999653,0.00000000,5.25366974
Simul_-45deg,-45,9.00000000,8.99999142,0.00000000,5.37745523
Simul_-45deg,-45,9.35999966,9.36000347,0.00000000,5.50080681
Simul_-45deg,-45,9.72000027,9.72000504,0.00000000,5.62365437
Simul_-45deg,-45,10.07999992,10.07999039,0.00000000,5.73527718
Simul_-45deg,-45,10.43999863,10.43999195,0.00000000,5.81073856
Simul_-45deg,-45,10.79999924,10.80000591,0.00000000,5.88838816
Simul_-45deg,-45,11.15999889,11.15999031,0.00000000,5.96807766
Simul_-45deg,-45,11.51999950,11.51999664,0.00000000,6.04968357
Simul_-45deg,-45,11.87999916,11.88000298,0.00000000,6.13306808
Simul_-45deg,-45,12.23999977,12.24000549,0.00000000,6.16595364
Simul_-45deg,-45,12.59999943,12.60000420,0.00000000,6.17621374
Simul_-45deg,-45,12.95999908,12.95999718,0.00000000,6.19026375
Simul_-45deg,-45,13.31999969,13.31999779,0.00000000,6.20806742
Simul_-45deg,-45,13.67999935,13.68000603,0.00000000,6.22958136
Simul_-45deg,-45,14.03999901,14.04000568,0.00000000,6.24555302
Simul_-45deg,-45,14.39999962,14.39999866,0.00000000,6.19179726
Simul_-45deg,-45,14.75999832,14.75999737,0.00000000,6.14213037
Simul_-45deg,-45,15.11999893,15.12000275,0.00000000,6.09670448
Simul_-45deg,-45,15.47999954,15.48000336,0.00000000,6.05566025
Simul_-45deg,-45,15.83999825,15.84000015,0.00000000,6.01912689
Simul_-45deg,-45,16.19999886,16.19999313,0.00000000,5.94093704
Simul_-45deg,-45,16.55999947,16.56000137,0.00000000,5.82973480
Simul_-45deg,-45,16.92000008,16.91999626,0.00000000,5.72269201
Simul_-45deg,-45,17.27999878,17.27999496,0.00000000,5.62019062
